[94319:0826/144433.730712:INFO:CONSOLE:99] "%c INFO color: #33f [PreBase] workbench restored", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/platform/log/common/log.js (99)
[94319:0826/144434.158094:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] activation started %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
[94319:0826/144434.158312:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] secret resolver initialized %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
[94319:0826/144434.158401:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] AI service initialized %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
[94319:0826/144434.158527:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] describeFile registered %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
[94319:0826/144434.158715:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] language model provider registered %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
[94319:0826/144434.162824:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] chat participants registered %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
[94319:0826/144434.164754:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] native tools registered %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
[94319:0826/144434.165344:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] desktop tools registered %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
[94319:0826/144434.166671:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] core commands registered %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
[94319:0826/144434.166723:INFO:CONSOLE:73] "%c[Extension Host] %c[Magnus] activation completed %c(at console.<anonymous> (file:///Users/qunyingfan/Prebasecode/out/vs/workbench/api/common/extHostConsoleForwarder.js:43:14)) color: blue color:  color: grey", source: vscode-file://vscode-app/Users/qunyingfan/Prebasecode/out/vs/base/common/console.js (73)
